name,team,pos,bye,rank
Jahmyr Gibbs,DET,RB,6,1.5
Bijan Robinson,ATL,RB,11,2.2
Puka Nacua,LAR,WR,11,3.1
Ja'Marr Chase,CIN,WR,6,3.9
Jaxon Smith-Njigba,SEA,WR,11,5.4
Jonathan Taylor,IND,RB,13,6
Christian McCaffrey,SF,RB,8,6.7
Amon-Ra St. Brown,DET,WR,6,7.9
James Cook III,BUF,RB,7,9.4
Derrick Henry,BAL,RB,13,10
De'Von Achane,MIA,RB,6,11.6
Drake London,ATL,WR,11,12.1
CeeDee Lamb,DAL,WR,14,12.5
Justin Jefferson,MIN,WR,6,14.2
Ashton Jeanty,LV,RB,13,14.9
Chase Brown,CIN,RB,6,15.3
Rashee Rice,KC,WR,5,15.8
Saquon Barkley,PHI,RB,10,17
George Pickens,DAL,WR,14,19.2
A.J. Brown,NE,WR,11,19.7
Kenneth Walker,KC,RB,5,21.8
Nico Collins,HOU,WR,8,21.9
Omarion Hampton,LAC,RB,7,23.5
Chris Olave,NO,WR,8,24
Zay Flowers,BAL,WR,13,25.1
Josh Jacobs,GB,RB,11,25.3
Kyren Williams,LAR,RB,11,26.6
Malik Nabers,NYG,WR,8,28.3
Jeremiyah Love,ARI,RB,14,29.9
Garrett Wilson,NYJ,WR,13,31.7
DeVonta Smith,PHI,WR,10,32.2
Tetairoa McMillan,CAR,WR,5,32.5
Josh Allen,BUF,QB,7,33.2
Javonte Williams,DAL,RB,14,33.2
Cam Skattebo,NYG,RB,8,33.6
Breece Hall,NYJ,RB,13,33.9
Emeka Egbuka,TB,WR,10,35
Tee Higgins,CIN,WR,6,37.2
Trey McBride,ARI,TE,14,38.7
Davante Adams,LAR,WR,11,38.8
Travis Etienne Jr.,NO,RB,8,40.4
Jameson Williams,DET,WR,6,41.1
Ladd McConkey,LAC,WR,7,41.1
D'Andre Swift,CHI,RB,10,42.6
Brock Bowers,LV,TE,13,43.4
Bucky Irving,TB,RB,10,44.4
Terry McLaurin,WAS,WR,7,45.4
Rome Odunze,CHI,WR,10,46
Jaylen Waddle,DEN,WR,10,49.4
Quinshon Judkins,CLE,RB,11,50.5
DJ Moore,BUF,WR,7,50.7
Drake Maye,NE,QB,11,52.1
Bhayshul Tuten,JAX,RB,7,52.8
Alec Pierce,IND,WR,13,53.9
Mike Evans,SF,WR,8,55
David Montgomery,HOU,RB,8,55.1
Christian Watson,GB,WR,11,56.4
Lamar Jackson,BAL,QB,13,56.5
Joe Burrow,CIN,QB,6,57.3
TreVeyon Henderson,NE,RB,11,59.3
Courtland Sutton,DEN,WR,10,59.6
Colston Loveland,CHI,TE,10,61.9
Jaylen Warren,PIT,RB,9,62.4
Luther Burden III,CHI,WR,10,62.4
DK Metcalf,PIT,WR,9,63.8
Tony Pollard,TEN,RB,9,65
Marvin Harrison Jr.,ARI,WR,14,65.2
Parker Washington,JAX,WR,7,65.3
Dak Prescott,DAL,QB,14,65.7
Rhamondre Stevenson,NE,RB,11,68.2
Brian Thomas Jr.,JAX,WR,7,69.4
Jayden Daniels,WAS,QB,7,70.5
Tyler Warren,IND,TE,13,70.6
Carnell Tate,TEN,WR,9,72.6
Chuba Hubbard,CAR,RB,5,74.1
Rico Dowdle,PIT,RB,9,74.8
