name,team,pos,bye,rank
Jahmyr Gibbs,DET,RB,6,1.4
Bijan Robinson,ATL,RB,11,1.9
Ja'Marr Chase,CIN,WR,6,3.3
Puka Nacua,LAR,WR,11,4.8
Christian McCaffrey,SF,RB,8,5.6
Jaxon Smith-Njigba,SEA,WR,11,6.8
Jonathan Taylor,IND,RB,13,7
Amon-Ra St. Brown,DET,WR,6,7.9
James Cook III,BUF,RB,7,9.8
CeeDee Lamb,DAL,WR,14,10.4
Saquon Barkley,PHI,RB,10,12.2
Justin Jefferson,MIN,WR,6,12.7
Ashton Jeanty,LV,RB,13,14.3
De'Von Achane,MIA,RB,6,15.6
Chase Brown,CIN,RB,6,16.4
Kenneth Walker III,KC,RB,5,16.5
Derrick Henry,BAL,RB,13,18
Omarion Hampton,LAC,RB,7,18.7
Drake London,ATL,WR,11,19
Josh Allen,BUF,QB,7,19.8
Brock Bowers,LV,TE,13,21.1
Nico Collins,HOU,WR,8,22.3
George Pickens,DAL,WR,14,22.4
A.J. Brown,NE,WR,11,24.8
Trey McBride,ARI,TE,14,25.8
Jeremiyah Love,ARI,RB,14,28
Kyren Williams,LAR,RB,11,29.2
DeVonta Smith,PHI,WR,10,29.5
Malik Nabers,NYG,WR,8,32.5
Chris Olave,NO,WR,8,33
Josh Jacobs,GB,RB,11,33.2
Tee Higgins,CIN,WR,6,33.5
Rashee Rice,KC,WR,5,34.3
Javonte Williams,DAL,RB,14,34.6
Breece Hall,NYJ,RB,13,35.4
Zay Flowers,BAL,WR,13,36.5
Lamar Jackson,BAL,QB,13,37.6
Colston Loveland,CHI,TE,10,39.6
Cam Skattebo,NYG,RB,8,41.6
Tetairoa McMillan,CAR,WR,5,41.8
Jaylen Waddle,DEN,WR,10,42.1
Travis Etienne Jr.,NO,RB,8,43.2
Emeka Egbuka,TB,WR,10,43.7
Ladd McConkey,LAC,WR,7,45.6
Tyler Warren,IND,TE,13,47.2
Drake Maye,NE,QB,11,47.3
D'Andre Swift,CHI,RB,10,47.5
Joe Burrow,CIN,QB,6,48.9
Garrett Wilson,NYJ,WR,13,49.4
David Montgomery,HOU,RB,8,52.4
Quinshon Judkins,CLE,RB,11,53.2
Davante Adams,LAR,WR,11,53.6
Jayden Daniels,WAS,QB,7,54
Terry McLaurin,WAS,WR,7,54.1
Bucky Irving,TB,RB,10,55.1
Jalen Hurts,PHI,QB,10,56.9
Luther Burden III,CHI,WR,10,58.7
Tucker Kraft,GB,TE,11,60.9
DJ Moore,BUF,WR,7,62.3
Bhayshul Tuten,JAX,RB,7,62.4
TreVeyon Henderson,NE,RB,11,62.5
Sam LaPorta,DET,TE,6,63
Jameson Williams,DET,WR,6,65.9
Jadarian Price,SEA,RB,11,65.9
Mike Evans,SF,WR,8,66.9
Christian Watson,GB,WR,11,67.7
Rome Odunze,CHI,WR,10,67.8
Caleb Williams,CHI,QB,10,68.1
Justin Herbert,LAC,QB,7,69.7
Harold Fannin Jr.,CLE,TE,11,71.4
Kyle Pitts Sr.,ATL,TE,11,72.9
Dak Prescott,DAL,QB,14,74.3
Jaylen Warren,PIT,RB,9,76.8
Marvin Harrison Jr.,ARI,WR,14,78.7
Carnell Tate,TEN,WR,9,79.9
Rhamondre Stevenson,NE,RB,11,80.3
Parker Washington,JAX,WR,7,82.5
Chuba Hubbard,CAR,RB,5,83.7
Brian Thomas Jr.,JAX,WR,7,83.9
Trevor Lawrence,JAX,QB,7,84.8
Tony Pollard,TEN,RB,9,85.5
Brandon Aubrey,DAL,K,14,85.6
DK Metcalf,PIT,WR,9,86.3
George Kittle,SF,TE,8,87
Rico Dowdle,PIT,RB,9,87.1
Jaxson Dart,NYG,QB,8,87.8
Rams,LAR,DST,11,89.1
Alec Pierce,IND,WR,13,91.3
Texans,HOU,DST,8,92.9
Travis Kelce,KC,TE,5,93.9
Jordyn Tyson,NO,WR,8,94
J.K. Dobbins,DEN,RB,10,96.8
Chris Godwin Jr.,TB,WR,10,97.8
Jonathon Brooks,CAR,RB,5,97.9
Brock Purdy,SF,QB,8,98.3
Dalton Kincaid,BUF,TE,7,99.1
Blake Corum,LAR,RB,11,99.6
Bo Nix,DEN,QB,10,99.9
Patrick Mahomes,KC,QB,5,99.9
Matthew Stafford,LAR,QB,11,100.5
Broncos,DEN,DST,10,101
Courtland Sutton,DEN,WR,10,103.1
Michael Wilson,ARI,WR,14,103.2
RJ Harvey,DEN,RB,10,103.5
Kyle Monangai,CHI,RB,10,103.8
Dallas Goedert,PHI,TE,10,106.4
Seahawks,SEA,DST,11,107.3
Stefon Diggs,WAS,WR,7,108.3
Isaiah Likely,NYG,TE,8,109.1
Josh Downs,IND,WR,13,109.3
Quentin Johnston,LAC,WR,7,109.4
Jacory Croskey-Merritt,WAS,RB,7,111.4
Kyler Murray,MIN,QB,6,111.7
Makai Lemon,PHI,WR,10,111.8
Mark Andrews,BAL,TE,13,113.4
Jared Goff,DET,QB,6,114.5
Jake Ferguson,DAL,TE,14,115.4
Jordan Mason,MIN,RB,6,116.2
De'Zhaun Stribling,SF,WR,8,116.4
Jordan Addison,MIN,WR,6,117.4
Kenny Gainwell,TB,RB,10,118
Ka'imi Fairbairn,HOU,K,8,118.8
Jayden Reed,GB,WR,11,119.4
Michael Pittman Jr.,PIT,WR,9,119.9
Fernando Mendoza,LV,QB,13,120
Cooper Kupp,SEA,WR,11,120.4
Brian Robinson,ATL,RB,11,121.7
Rachaad White,WAS,RB,7,122.1
Mike Washington Jr.,LV,RB,13,122.2
Bryce Young,CAR,QB,5,122.2
Sam Darnold,SEA,QB,11,122.7
Aaron Jones Sr.,MIN,RB,6,123
Cameron Dicker,LAC,K,7,123
Eagles,PHI,DST,10,123.4
Jason Myers,SEA,K,11,123.6
Keenan Allen,IND,WR,13,123.9
Jordan Love,GB,QB,11,124.3
Malik Willis,MIA,QB,6,124.8
Cam Ward,TEN,QB,9,125.3
Isaac TeSlaa,DET,WR,6,125.4
Ja'Kobi Lane,BAL,WR,13,125.5
C.J. Stroud,HOU,QB,8,125.6
James Conner,ARI,RB,14,125.9
AJ Barner,SEA,TE,11,126
Alvin Kamara,NO,RB,8,126.1
Isiah Pacheco,DET,RB,6,126.2
Baker Mayfield,TB,QB,10,126.3
Chig Okonkwo,WAS,TE,7,126.4
Travis Hunter,JAX,WR,7,126.5
Oronde Gadsden,LAC,TE,7,126.6
Terrance Ferguson,LAR,TE,11,126.7
Jauan Jennings,MIN,WR,6,126.9
Patriots,NE,DST,11,127.3
Deebo Samuel Sr.,SF,WR,8,127.5
Daniel Jones,IND,QB,13,127.5
Juwan Johnson,NO,TE,8,127.7
Hunter Henry,NE,TE,11,127.8
KC Concepcion,CLE,WR,11,128.3
Matthew Golden,GB,WR,11,128.3
Rashid Shaheed,SEA,WR,11,128.3
Dalton Schultz,HOU,TE,8,128.4
Cowboys,DAL,DST,14,128.7
Xavier Worthy,KC,WR,5,128.8
Brenton Strange,JAX,TE,7,128.9
Jakobi Meyers,JAX,WR,7,129
T.J. Hockenson,MIN,TE,6,129.2
Jalen McMillan,TB,WR,10,129.3
Zach Charbonnet,SEA,RB,11,129.4
Cam Little,JAX,K,7,129.5
Tyler Allgeier,ARI,RB,14,129.9
Tyler Shough,NO,QB,8,130
Kenyon Sadiq,NYJ,TE,13,130
Jonah Coleman,DEN,RB,10,130.2
Jalen Nailor,LV,WR,13,130.2
Omar Cooper Jr.,NYJ,WR,13,130.2
Tank Bigsby,PHI,RB,10,130.6
Bills,BUF,DST,7,130.6
Vikings,MIN,DST,6,130.8
Wan'Dale Robinson,TEN,WR,9,130.9
Tyrone Tracy Jr.,NYG,RB,8,131
Khalil Shakir,BUF,WR,7,131.4
Denzel Boston,CLE,WR,11,131.5
MarShawn Lloyd,GB,RB,11,131.5
Woody Marks,HOU,RB,8,131.6
Chris Rodriguez Jr.,JAX,RB,7,131.8
Romeo Doubs,NE,WR,11,131.8
Keaton Mitchell,LAC,RB,7,131.9
Greg Dulcich,MIA,TE,6,131.9
Harrison Mevis,LAR,K,11,133.1
Jalen Coker,CAR,WR,5,133.3
Tyjae Spears,TEN,RB,9,133.3
Chiefs,KC,DST,5,134.2
Steelers,PIT,DST,9,135.3
Wil Lutz,DEN,K,10,135.9
Chris Boswell,PIT,K,9,136.1
Lions,DET,DST,6,137
Jaguars,JAX,DST,7,137.2
Packers,GB,DST,11,137.5
Ravens,BAL,DST,13,137.8
Jake Bates,DET,K,6,138.2
Chargers,LAC,DST,7,139.1
Tyler Loop,BAL,K,13,140.5
Chase McLaughlin,TB,K,10,141
Will Reichard,MIN,K,6,142.4
Evan McPherson,CIN,K,6,142.6
Eddy Pineiro,SF,K,8,143.2
Andy Borregales,NE,K,11,144.2
Cairo Santos,CHI,K,10,144.6
